# Downloaded 2022-01-05 from https://www.icos-cp.eu/science-and-impact/global-carbon-budget/2022
Year,land_sink_mean,land_sink_sd,ocean_sink_mean,ocean_sink_sd
1959,0.40,0.67,0.85,0.27
1960,1.23,0.51,0.83,0.26
1961,0.84,0.61,0.68,0.25
1962,1.32,0.75,0.77,0.26
1963,0.87,0.68,0.93,0.23
1964,1.69,0.66,1.09,0.22
1965,0.34,1.08,1.20,0.26
1966,1.40,0.52,1.15,0.26
1967,1.68,0.53,1.00,0.27
1968,2.40,0.60,1.06,0.25
1969,0.71,0.38,1.15,0.25
1970,0.71,0.65,1.00,0.24
1971,2.45,0.81,1.09,0.26
1972,1.25,0.67,1.36,0.24
1973,1.89,0.85,1.23,0.28
1974,4.19,0.99,1.18,0.29
1975,2.65,0.65,1.13,0.31
1976,2.99,0.99,1.30,0.31
1977,1.51,0.76,1.38,0.28
1978,2.78,0.84,1.42,0.24
1979,1.42,0.83,1.36,0.24
1980,0.41,1.22,1.61,0.21
1981,2.22,0.89,1.60,0.25
1982,1.67,0.79,1.76,0.25
1983,0.28,1.12,1.88,0.26
1984,2.89,0.92,1.74,0.27
1985,2.77,0.78,1.65,0.32
1986,2.31,0.86,1.70,0.29
1987,0.35,0.90,1.79,0.24
1988,2.06,1.05,1.67,0.27
1989,3.57,0.72,1.69,0.29
1990,2.33,0.69,1.79,0.26
1991,2.25,0.93,1.90,0.23
1992,2.26,1.03,2.09,0.21
1993,2.86,0.68,2.08,0.22
1994,1.47,0.90,1.86,0.27
1995,1.77,0.69,1.89,0.24
1996,3.40,0.71,1.90,0.23
1997,3.19,0.72,2.04,0.24
1998,1.51,1.07,2.10,0.28
1999,3.59,0.72,1.91,0.33
2000,3.75,0.78,1.85,0.30
2001,2.38,0.61,1.77,0.33
2002,0.99,0.85,2.12,0.24
2003,2.31,0.75,2.20,0.27
2004,3.47,0.73,2.13,0.25
2005,1.88,0.64,2.17,0.26
2006,3.11,0.54,2.29,0.29
2007,2.71,0.83,2.24,0.26
2008,3.63,0.79,2.24,0.31
2009,2.99,0.71,2.27,0.23
2010,3.32,1.00,2.25,0.24
2011,4.11,0.84,2.35,0.30
2012,2.32,0.89,2.44,0.30
2013,3.56,0.77,2.44,0.29
2014,3.66,0.81,2.57,0.27
2015,2.01,1.02,2.64,0.29
2016,2.69,0.97,2.67,0.27
2017,3.56,0.60,2.53,0.32
2018,3.65,0.74,2.59,0.30
2019,3.04,0.83,2.57,0.32
2020,3.11,0.94,2.57,0.30
2021,3.45,0.89,2.48,0.38
