"model","experiment","ensemble","variable","year","value","units"
"BCC-CSM2-MR","1pctCO2","r1i1p1f1","co2",1850,0.000285730078758206,"mol mol-1"
"BCC-CSM2-MR","1pctCO2","r1i1p1f1","co2",1851,0.000288587378842446,"mol mol-1"
"BCC-CSM2-MR","1pctCO2","r1i1p1f1","co2",1852,0.000291473251612236,"mol mol-1"
"BCC-CSM2-MR","1pctCO2","r1i1p1f1","co2",1853,0.000294387983255244,"mol mol-1"
"BCC-CSM2-MR","1pctCO2","r1i1p1f1","co2",1854,0.000297331867235092,"mol mol-1"
"BCC-CSM2-MR","1pctCO2","r1i1p1f1","co2",1855,0.00030030518003817,"mol mol-1"
"BCC-CSM2-MR","1pctCO2","r1i1p1f1","co2",1856,0.000303308234530656,"mol mol-1"
"BCC-CSM2-MR","1pctCO2","r1i1p1f1","co2",1857,0.000306341316900216,"mol mol-1"
"BCC-CSM2-MR","1pctCO2","r1i1p1f1","co2",1858,0.000309404732737069,"mol mol-1"
"BCC-CSM2-MR","1pctCO2","r1i1p1f1","co2",1859,0.00031249877550484,"mol mol-1"
"BCC-CSM2-MR","1pctCO2","r1i1p1f1","co2",1860,0.000315623762920344,"mol mol-1"
"BCC-CSM2-MR","1pctCO2","r1i1p1f1","co2",1861,0.000318780005424439,"mol mol-1"
"BCC-CSM2-MR","1pctCO2","r1i1p1f1","co2",1862,0.000321967801331387,"mol mol-1"
"BCC-CSM2-MR","1pctCO2","r1i1p1f1","co2",1863,0.000325187480484601,"mol mol-1"
"BCC-CSM2-MR","1pctCO2","r1i1p1f1","co2",1864,0.000328439353324939,"mol mol-1"
"BCC-CSM2-MR","1pctCO2","r1i1p1f1","co2",1865,0.000331723749695811,"mol mol-1"
"BCC-CSM2-MR","1pctCO2","r1i1p1f1","co2",1866,0.000335040987314035,"mol mol-1"
"BCC-CSM2-MR","1pctCO2","r1i1p1f1","co2",1867,0.000338391398448342,"mol mol-1"
"BCC-CSM2-MR","1pctCO2","r1i1p1f1","co2",1868,0.000341775308091504,"mol mol-1"
"BCC-CSM2-MR","1pctCO2","r1i1p1f1","co2",1869,0.000345193063064168,"mol mol-1"
"BCC-CSM2-MR","1pctCO2","r1i1p1f1","co2",1870,0.000348644995635065,"mol mol-1"
"BCC-CSM2-MR","1pctCO2","r1i1p1f1","co2",1871,0.000352131442923564,"mol mol-1"
"BCC-CSM2-MR","1pctCO2","r1i1p1f1","co2",1872,0.00035565275902627,"mol mol-1"
"BCC-CSM2-MR","1pctCO2","r1i1p1f1","co2",1873,0.000359209285913191,"mol mol-1"
"BCC-CSM2-MR","1pctCO2","r1i1p1f1","co2",1874,0.000362801377680929,"mol mol-1"
"BCC-CSM2-MR","1pctCO2","r1i1p1f1","co2",1875,0.000366429388426089,"mol mol-1"
"BCC-CSM2-MR","1pctCO2","r1i1p1f1","co2",1876,0.00037009368922251,"mol mol-1"
"BCC-CSM2-MR","1pctCO2","r1i1p1f1","co2",1877,0.000373794622040198,"mol mol-1"
"BCC-CSM2-MR","1pctCO2","r1i1p1f1","co2",1878,0.00037753257007959,"mol mol-1"
"BCC-CSM2-MR","1pctCO2","r1i1p1f1","co2",1879,0.000381307894713245,"mol mol-1"
"BCC-CSM2-MR","1pctCO2","r1i1p1f1","co2",1880,0.000385120974290961,"mol mol-1"
"BCC-CSM2-MR","1pctCO2","r1i1p1f1","co2",1881,0.000388972187162532,"mol mol-1"
"BCC-CSM2-MR","1pctCO2","r1i1p1f1","co2",1882,0.000392861909252436,"mol mol-1"
"BCC-CSM2-MR","1pctCO2","r1i1p1f1","co2",1883,0.000396790521335788,"mol mol-1"
"BCC-CSM2-MR","1pctCO2","r1i1p1f1","co2",1884,0.000400758433291533,"mol mol-1"
"BCC-CSM2-MR","1pctCO2","r1i1p1f1","co2",1885,0.000404766011342872,"mol mol-1"
"BCC-CSM2-MR","1pctCO2","r1i1p1f1","co2",1886,0.000408813675070026,"mol mol-1"
